Fecha,Medicamento,Consumo Histórico,Inventario Actual,Brote Enfermedad (0/1),Nivel de Ingresos (Bajo/Medio/Alto),Desabastecimiento (0/1)
2023-03-03,Losartan,129,199,0,Medio,0
2021-12-12,Metformina,67,558,0,Medio,0
2022-02-20,Metformina,137,261,0,Medio,0
2023-09-13,Ibuprofeno,354,154,1,Medio,0
2023-04-23,Amoxicilina,414,900,0,Bajo,0
2021-06-02,Ibuprofeno,343,348,0,Bajo,0
2024-07-01,Ibuprofeno,467,651,0,Bajo,0
2022-03-28,Aspirina,226,170,0,Medio,0
2021-05-25,Loratadina,408,498,0,Alto,0
2022-06-17,Aspirina,445,533,0,Medio,0
2023-07-10,Paracetamol,429,678,0,Medio,0
2021-10-20,Losartan,72,147,0,Bajo,0
2021-10-20,Paracetamol,377,889,0,Bajo,0
2021-03-11,Paracetamol,365,395,1,Medio,0
2022-07-16,Omeprazol,117,134,0,Bajo,0
2021-01-14,Losartan,336,500,0,Medio,0
2021-12-02,Metformina,364,110,0,Bajo,0
2021-08-24,Amoxicilina,473,780,0,Bajo,0
2021-10-22,Simvastatina,165,336,0,Bajo,0
2022-08-03,Omeprazol,86,141,0,Medio,0
2024-02-25,Metformina,481,700,0,Alto,0
2024-08-05,Amoxicilina,496,186,0,Alto,0
2022-10-15,Metformina,201,632,0,Alto,0
2021-06-08,Aspirina,497,737,0,Bajo,1
2023-12-15,Ibuprofeno,472,914,0,Bajo,1
2021-08-10,Paracetamol,122,868,0,Bajo,1
2022-05-14,Amoxicilina,117,215,0,Medio,0
2022-01-07,Simvastatina,449,144,0,Medio,0
2023-09-10,Ibuprofeno,313,105,0,Bajo,0
2021-07-09,Amoxicilina,304,736,0,Medio,0
2021-05-12,Loratadina,129,288,0,Alto,0
2024-06-22,Simvastatina,227,141,0,Alto,0
2022-03-29,Simvastatina,65,358,0,Medio,0
2023-05-06,Amoxicilina,353,676,0,Bajo,0
2022-09-28,Omeprazol,211,462,0,Medio,0
2021-10-08,Paracetamol,236,795,0,Medio,0
2023-03-19,Ibuprofeno,242,567,0,Bajo,1
2021-08-25,Aspirina,285,489,0,Medio,0
2022-01-13,Paracetamol,80,764,0,Alto,0
2021-03-05,Amoxicilina,244,970,0,Alto,0
2021-02-10,Loratadina,344,272,0,Bajo,0
2021-02-04,Simvastatina,399,834,0,Medio,0
2023-12-23,Amoxicilina,328,624,1,Medio,0
2023-06-18,Aspirina,88,741,0,Medio,0
2023-09-14,Aspirina,267,694,0,Medio,0
2023-05-10,Simvastatina,434,538,0,Medio,0
2023-12-07,Omeprazol,273,206,0,Bajo,0
2021-09-30,Aspirina,451,969,1,Bajo,0
2022-10-22,Ibuprofeno,439,760,0,Medio,0
2024-03-25,Omeprazol,395,274,0,Medio,0
2024-06-24,Metformina,172,744,0,Alto,0
2021-06-26,Metformina,408,449,0,Medio,0
2021-11-25,Losartan,334,702,0,Alto,1
2021-01-25,Losartan,309,598,0,Bajo,0
2022-06-28,Ibuprofeno,175,624,0,Medio,0
2022-11-15,Simvastatina,238,410,0,Alto,0
2022-10-16,Ibuprofeno,117,822,0,Alto,0
2023-08-18,Omeprazol,219,739,0,Bajo,0
2022-11-15,Losartan,267,513,0,Alto,0
2023-10-31,Aspirina,359,894,0,Alto,0
2021-10-06,Paracetamol,139,552,1,Alto,0
2022-11-20,Ibuprofeno,286,134,0,Medio,0
2022-03-16,Aspirina,282,455,0,Alto,0
2023-09-26,Simvastatina,179,518,0,Alto,0
2021-04-14,Metformina,315,489,0,Alto,0
2021-09-23,Paracetamol,246,183,0,Alto,0
2023-06-21,Aspirina,478,220,0,Medio,0
2023-11-07,Loratadina,497,906,0,Alto,0
2023-10-21,Paracetamol,224,725,0,Bajo,0
2022-03-15,Paracetamol,370,423,0,Medio,0
2022-06-04,Losartan,400,865,0,Alto,0
2022-07-14,Aspirina,79,344,0,Bajo,0
2021-08-24,Loratadina,313,555,0,Alto,0
2021-04-30,Paracetamol,392,731,0,Bajo,0
2022-09-09,Loratadina,131,533,0,Medio,0
2021-09-11,Paracetamol,302,571,0,Alto,0
2023-06-16,Simvastatina,331,138,1,Bajo,1
2023-01-04,Metformina,433,881,0,Bajo,0
2021-10-05,Loratadina,104,504,0,Alto,0
2022-11-24,Losartan,287,219,0,Alto,0
2023-05-02,Losartan,393,953,0,Alto,0
2022-10-11,Simvastatina,196,294,0,Medio,0
2021-05-04,Omeprazol,154,684,0,Bajo,0
2022-12-02,Losartan,288,957,0,Alto,1
2021-11-17,Losartan,477,559,0,Alto,0
2023-11-25,Loratadina,180,179,0,Alto,0
2024-01-24,Simvastatina,150,570,0,Bajo,0
2022-04-01,Simvastatina,207,979,0,Alto,0
2022-02-02,Salbutamol,86,622,0,Bajo,0
2023-12-06,Losartan,182,626,0,Bajo,1
2022-05-17,Omeprazol,316,945,0,Bajo,0
2022-04-30,Amoxicilina,432,977,0,Medio,0
2022-06-01,Paracetamol,293,814,0,Medio,0
2023-03-13,Loratadina,359,314,0,Bajo,0
2021-09-02,Paracetamol,305,271,0,Medio,0
2022-08-22,Amoxicilina,80,218,0,Alto,0
2022-11-05,Ibuprofeno,383,397,0,Alto,0
2022-07-18,Paracetamol,138,267,0,Alto,0
2021-12-21,Losartan,343,889,0,Medio,0
2022-05-25,Salbutamol,419,471,0,Bajo,0
2023-01-22,Metformina,204,167,0,Medio,0
2024-05-29,Losartan,273,373,0,Medio,0
2023-06-30,Omeprazol,257,809,1,Medio,0
2023-08-29,Amoxicilina,177,915,0,Medio,0
2021-03-08,Losartan,244,592,0,Alto,0
2023-07-09,Salbutamol,473,300,0,Alto,0
2023-03-19,Metformina,333,299,0,Alto,0
2024-05-24,Losartan,236,742,0,Bajo,0
2024-01-20,Losartan,206,672,0,Medio,0
2021-04-27,Omeprazol,270,494,0,Medio,0
2023-02-18,Losartan,497,918,1,Medio,0
2022-12-30,Losartan,445,906,0,Bajo,0
2022-06-26,Omeprazol,372,809,0,Medio,0
2022-11-14,Aspirina,223,345,0,Bajo,0
2021-04-07,Losartan,299,476,0,Medio,0
2021-12-06,Omeprazol,451,323,0,Medio,0
2024-03-02,Losartan,52,450,0,Alto,0
2024-07-21,Aspirina,417,975,1,Medio,0
2022-02-01,Losartan,240,127,0,Medio,1
2022-06-27,Simvastatina,328,535,0,Bajo,0
2023-02-15,Salbutamol,336,334,0,Medio,0
2022-11-05,Loratadina,56,199,0,Bajo,0
2023-04-16,Omeprazol,391,500,0,Bajo,0
2023-05-19,Losartan,63,472,0,Medio,0
2022-07-14,Salbutamol,472,158,0,Bajo,0
2023-10-25,Ibuprofeno,232,740,0,Alto,0
2024-01-13,Simvastatina,430,740,0,Medio,0
2024-08-01,Amoxicilina,304,434,0,Bajo,1
2022-01-03,Salbutamol,445,531,0,Alto,1
2023-02-28,Simvastatina,199,823,0,Medio,0
2024-04-23,Simvastatina,448,559,0,Alto,1
2021-05-19,Aspirina,145,802,0,Alto,0
2022-09-17,Simvastatina,319,513,0,Alto,0
2021-05-16,Omeprazol,374,868,0,Bajo,0
2024-06-11,Salbutamol,318,862,0,Medio,0
2022-03-16,Amoxicilina,180,425,0,Medio,0
2021-08-08,Simvastatina,142,108,0,Bajo,0
2021-11-27,Omeprazol,80,683,0,Medio,0
2024-06-22,Salbutamol,254,756,0,Alto,0
2023-12-29,Aspirina,354,353,0,Bajo,0
2023-12-23,Losartan,197,224,0,Alto,0
2023-03-10,Salbutamol,365,378,0,Bajo,0
2021-11-15,Salbutamol,308,657,0,Medio,0
2021-01-01,Metformina,276,983,1,Alto,1
2021-06-27,Salbutamol,136,307,1,Alto,0
2022-05-20,Losartan,226,449,0,Bajo,0
2024-04-19,Metformina,405,288,1,Bajo,0
2022-01-01,Ibuprofeno,395,532,0,Medio,0
2022-05-26,Paracetamol,384,883,0,Medio,0
2023-07-11,Aspirina,173,747,1,Bajo,0
2023-03-07,Aspirina,99,206,0,Medio,0
2021-03-18,Metformina,146,427,0,Alto,0
2023-06-27,Loratadina,214,354,0,Alto,0
2021-07-12,Loratadina,99,870,0,Bajo,0
2021-04-13,Salbutamol,217,185,0,Bajo,0
2023-11-15,Metformina,180,386,0,Bajo,0
2021-06-19,Simvastatina,276,506,0,Alto,1
2021-12-31,Loratadina,238,361,0,Bajo,0
2022-10-27,Ibuprofeno,369,980,0,Bajo,0
2022-06-07,Salbutamol,393,373,0,Bajo,0
2022-09-04,Salbutamol,176,823,0,Alto,0
2022-10-17,Losartan,422,856,1,Bajo,0
2021-09-05,Loratadina,119,535,0,Bajo,1
2023-10-14,Loratadina,185,105,0,Medio,0
2021-07-14,Metformina,144,989,0,Medio,0
2023-01-30,Paracetamol,106,219,0,Medio,1
2024-07-14,Omeprazol,480,712,0,Alto,0
2022-01-01,Aspirina,186,142,0,Medio,0
2021-05-13,Salbutamol,118,807,0,Bajo,0
2023-07-14,Metformina,109,454,0,Bajo,0
2022-08-01,Amoxicilina,365,933,0,Alto,0
2021-02-08,Losartan,450,603,0,Medio,0
2022-02-28,Simvastatina,417,321,0,Alto,0
2023-10-23,Omeprazol,464,641,0,Alto,0
2023-05-15,Amoxicilina,387,956,0,Bajo,0
2024-02-17,Loratadina,338,425,0,Alto,0
2022-06-26,Losartan,206,157,0,Alto,0
2023-08-04,Loratadina,172,315,0,Bajo,0
2022-12-02,Amoxicilina,103,518,0,Alto,0
2023-04-10,Metformina,99,541,0,Bajo,0
2021-05-03,Omeprazol,195,418,0,Medio,0
2022-02-15,Paracetamol,235,663,0,Bajo,0
2024-06-24,Amoxicilina,377,719,0,Alto,0
2021-12-06,Salbutamol,115,794,0,Alto,0
2023-11-19,Salbutamol,109,581,0,Alto,0
2022-02-04,Amoxicilina,491,246,0,Medio,0
2022-01-11,Salbutamol,113,700,1,Alto,1
2021-06-08,Paracetamol,373,299,0,Alto,0
2021-06-24,Aspirina,476,729,0,Medio,0
2021-05-02,Losartan,85,672,1,Bajo,0
2021-10-28,Paracetamol,479,449,0,Alto,0
2024-07-28,Losartan,284,507,0,Medio,0
2024-05-09,Loratadina,453,468,0,Alto,0
2021-07-07,Losartan,467,815,1,Medio,0
2023-10-14,Ibuprofeno,202,639,0,Bajo,0
2021-06-20,Salbutamol,408,584,0,Alto,0
2023-05-06,Salbutamol,273,973,1,Medio,0
2022-12-20,Aspirina,380,642,0,Alto,0
2021-09-19,Simvastatina,285,281,1,Medio,0
2023-12-12,Amoxicilina,432,673,0,Medio,0
2023-03-22,Simvastatina,305,537,0,Bajo,1
2021-10-02,Paracetamol,216,880,0,Bajo,0
2021-08-24,Simvastatina,63,810,0,Alto,0
2021-04-15,Salbutamol,122,919,0,Alto,0
2022-02-17,Paracetamol,94,688,0,Medio,0
2023-06-30,Metformina,283,539,0,Alto,0
2021-08-01,Ibuprofeno,445,743,0,Bajo,0
2024-04-06,Paracetamol,306,880,0,Medio,0
2024-01-01,Omeprazol,431,984,0,Alto,0
2022-07-09,Amoxicilina,220,458,0,Bajo,0
2023-09-26,Metformina,273,130,0,Alto,0
2022-07-13,Ibuprofeno,453,901,1,Alto,0
2024-08-19,Loratadina,103,908,0,Medio,0
2023-12-06,Aspirina,71,771,0,Medio,0
2024-07-14,Omeprazol,163,701,0,Bajo,0
2022-07-27,Aspirina,459,187,0,Bajo,0
2023-05-25,Ibuprofeno,373,289,0,Medio,0
2024-03-21,Ibuprofeno,418,530,0,Bajo,0
2022-02-08,Metformina,67,833,0,Medio,1
2024-06-02,Ibuprofeno,424,630,0,Medio,0
2023-12-18,Metformina,353,636,0,Alto,0
2022-01-30,Omeprazol,115,205,0,Medio,0
2022-09-27,Paracetamol,472,147,0,Bajo,0
2024-05-08,Losartan,274,596,0,Medio,0
2023-01-03,Simvastatina,160,585,1,Bajo,0
2023-04-25,Omeprazol,238,100,0,Bajo,0
2022-03-05,Omeprazol,311,341,0,Alto,0
2023-02-22,Loratadina,259,803,0,Medio,0
2021-05-25,Simvastatina,229,770,0,Bajo,0
2021-04-17,Aspirina,192,654,0,Alto,0
2022-05-02,Omeprazol,173,613,0,Alto,0
2021-04-04,Loratadina,483,977,0,Bajo,0
2024-01-07,Ibuprofeno,353,898,0,Alto,0
2021-11-13,Omeprazol,486,131,0,Medio,0
2024-07-05,Losartan,248,754,0,Medio,0
2021-06-05,Amoxicilina,393,429,0,Medio,0
2024-03-08,Salbutamol,221,796,0,Medio,0
2021-05-21,Loratadina,383,551,0,Alto,0
2024-05-15,Ibuprofeno,403,546,0,Medio,0
2021-05-24,Ibuprofeno,145,904,0,Alto,0
2022-08-13,Ibuprofeno,265,175,0,Medio,0
2024-08-10,Ibuprofeno,88,714,0,Medio,0
2023-11-12,Amoxicilina,390,387,0,Medio,1
2022-01-01,Salbutamol,253,514,0,Alto,1
2024-01-30,Ibuprofeno,198,737,1,Medio,0
2023-05-14,Loratadina,329,289,0,Alto,0
2024-04-22,Omeprazol,205,239,0,Medio,0
2022-11-12,Salbutamol,232,431,0,Bajo,0
2022-04-03,Salbutamol,201,425,0,Medio,0
2023-03-20,Amoxicilina,127,986,0,Medio,0
2022-09-06,Paracetamol,141,196,0,Alto,0
2022-09-27,Metformina,442,758,0,Alto,0
2022-02-24,Simvastatina,286,812,0,Bajo,0
2024-05-06,Paracetamol,441,787,0,Alto,0
2021-01-05,Metformina,333,248,0,Alto,1
2024-06-25,Losartan,387,622,0,Bajo,0
2021-02-05,Salbutamol,420,468,0,Bajo,0
2021-09-09,Paracetamol,374,542,0,Medio,0
2022-01-13,Metformina,253,413,0,Bajo,0
2023-02-09,Amoxicilina,420,632,0,Alto,0
2022-11-13,Metformina,443,253,1,Medio,0
2023-05-28,Aspirina,440,677,0,Alto,0
2021-10-25,Ibuprofeno,470,743,0,Alto,0
2021-07-18,Omeprazol,449,629,0,Medio,0
2023-10-23,Aspirina,478,750,0,Bajo,0
2021-07-04,Ibuprofeno,342,140,0,Alto,0
2022-09-22,Salbutamol,142,758,0,Bajo,0
2024-03-27,Omeprazol,300,294,1,Bajo,0
2024-01-06,Simvastatina,101,354,0,Medio,1
2021-03-18,Paracetamol,452,464,0,Bajo,0
2021-06-13,Ibuprofeno,260,436,0,Medio,0
2024-07-16,Salbutamol,271,997,0,Medio,0
2022-10-13,Amoxicilina,316,380,0,Alto,0
2021-11-29,Metformina,221,599,0,Alto,0
2024-01-03,Aspirina,411,956,0,Medio,0
2023-11-28,Aspirina,457,610,0,Medio,0
2021-06-23,Simvastatina,81,964,0,Bajo,0
2023-03-29,Salbutamol,425,322,0,Alto,0
2022-10-11,Paracetamol,452,989,0,Alto,0
2023-11-20,Omeprazol,173,221,0,Alto,0
2021-04-10,Ibuprofeno,283,484,0,Bajo,0
2021-03-27,Paracetamol,383,307,1,Bajo,0
2022-03-17,Simvastatina,60,578,0,Medio,0
2023-11-05,Salbutamol,136,672,0,Bajo,0
2024-04-29,Amoxicilina,376,296,0,Bajo,0
2021-08-14,Salbutamol,94,509,0,Alto,0
2024-07-20,Salbutamol,130,463,0,Alto,1
2022-08-28,Metformina,259,868,0,Medio,0
2023-07-10,Loratadina,173,358,0,Medio,0
2021-08-31,Amoxicilina,380,452,0,Bajo,0
2024-05-05,Ibuprofeno,482,472,0,Alto,0
2023-08-05,Salbutamol,480,857,0,Bajo,0
2024-01-15,Losartan,227,892,0,Alto,0
2022-07-09,Amoxicilina,165,102,0,Medio,0
2022-02-24,Losartan,316,887,0,Bajo,0
2024-05-19,Losartan,388,886,0,Alto,0
2022-09-18,Metformina,497,430,0,Medio,0
2021-03-24,Omeprazol,485,898,0,Medio,0
2024-07-14,Aspirina,314,518,0,Bajo,0
2021-01-19,Omeprazol,107,282,0,Medio,0
2023-07-03,Loratadina,404,405,0,Alto,0
2021-05-19,Metformina,336,629,0,Medio,0
2022-02-18,Ibuprofeno,108,244,0,Bajo,0
2022-05-14,Losartan,434,569,0,Bajo,0
2023-01-01,Salbutamol,159,455,0,Medio,0
2021-11-24,Amoxicilina,288,672,0,Bajo,0
2024-06-27,Salbutamol,358,248,0,Alto,0
2021-11-29,Aspirina,391,279,0,Alto,0
2021-04-13,Aspirina,388,511,0,Medio,0
2023-02-13,Simvastatina,250,332,1,Medio,0
2022-08-18,Paracetamol,199,226,1,Alto,0
2022-02-13,Paracetamol,210,592,0,Medio,0
2022-05-14,Loratadina,275,909,0,Medio,0
2021-12-13,Amoxicilina,389,622,0,Medio,0
2021-09-16,Loratadina,391,360,0,Medio,0
2022-05-17,Loratadina,94,587,0,Medio,0
2021-04-23,Metformina,456,633,0,Bajo,0
2023-07-18,Paracetamol,277,592,0,Alto,0
2022-02-14,Ibuprofeno,286,828,0,Medio,0
2023-02-23,Metformina,321,446,0,Medio,0
2023-11-12,Simvastatina,131,460,0,Bajo,0
2023-08-14,Ibuprofeno,430,651,0,Bajo,0
2021-12-13,Loratadina,488,520,0,Bajo,0
2023-05-16,Aspirina,225,456,0,Alto,0
2022-07-25,Ibuprofeno,412,432,0,Medio,0
2024-07-13,Aspirina,405,224,0,Bajo,0
2023-06-14,Metformina,486,645,0,Alto,0
2024-06-29,Ibuprofeno,335,964,0,Medio,0
2023-02-25,Loratadina,469,342,0,Alto,0
2024-04-27,Paracetamol,147,315,0,Medio,0
2022-10-08,Losartan,335,115,0,Alto,0
2022-04-27,Loratadina,161,479,0,Medio,0
2023-02-19,Paracetamol,267,938,0,Medio,0
2024-04-27,Metformina,111,426,0,Bajo,0
2021-05-29,Metformina,163,259,0,Alto,0
2024-03-09,Loratadina,259,121,0,Alto,0
2022-12-13,Amoxicilina,164,162,0,Medio,1
2023-05-01,Omeprazol,95,729,0,Medio,0
2021-10-09,Ibuprofeno,399,943,0,Bajo,0
2021-11-07,Salbutamol,333,654,0,Bajo,0
2024-03-02,Aspirina,310,896,0,Bajo,0
2023-10-28,Metformina,359,527,0,Medio,1
2022-12-19,Paracetamol,455,319,0,Bajo,0
2023-09-20,Loratadina,91,822,0,Medio,0
2021-02-25,Salbutamol,89,212,0,Bajo,0
2021-02-27,Amoxicilina,94,133,0,Alto,0
2022-04-15,Ibuprofeno,411,144,0,Bajo,1
2021-11-23,Ibuprofeno,138,716,0,Alto,0
2024-06-13,Simvastatina,304,941,0,Alto,0
2021-12-01,Losartan,228,781,0,Medio,0
2023-05-17,Paracetamol,325,565,0,Medio,0
2022-02-09,Losartan,361,663,0,Alto,1
2022-02-12,Omeprazol,132,288,0,Bajo,0
2024-07-05,Omeprazol,464,601,0,Bajo,0
2023-11-07,Aspirina,317,411,0,Bajo,0
2023-07-10,Ibuprofeno,225,249,0,Bajo,0
2024-01-05,Ibuprofeno,236,308,1,Alto,0
2023-04-01,Loratadina,479,172,0,Medio,0
2022-10-09,Loratadina,176,500,0,Bajo,0
2023-05-08,Loratadina,224,218,0,Bajo,0
2021-08-19,Aspirina,202,581,0,Alto,0
2023-08-04,Salbutamol,108,549,0,Alto,0
2023-12-07,Salbutamol,139,689,0,Alto,0
2021-03-08,Simvastatina,240,974,0,Medio,0
2022-12-03,Loratadina,150,646,0,Alto,0
2021-09-28,Metformina,166,322,0,Bajo,0
2021-12-11,Amoxicilina,290,422,0,Medio,0
2021-11-19,Ibuprofeno,107,292,0,Alto,0
2023-09-24,Salbutamol,78,910,0,Medio,0
2021-02-28,Aspirina,381,914,0,Bajo,0
2021-05-25,Omeprazol,177,285,0,Medio,0
2021-05-30,Amoxicilina,67,903,0,Alto,0
2021-06-20,Simvastatina,60,324,1,Medio,0
2023-06-08,Salbutamol,291,539,0,Medio,0
2024-08-24,Paracetamol,132,193,0,Alto,0
2024-07-31,Ibuprofeno,383,642,0,Bajo,0
2022-06-05,Simvastatina,349,219,0,Bajo,0
2021-12-06,Metformina,211,376,0,Bajo,0
2023-08-01,Aspirina,62,378,0,Alto,1
2022-10-03,Simvastatina,71,644,0,Alto,1
2022-12-01,Salbutamol,370,797,0,Alto,0
2024-03-07,Losartan,334,817,0,Medio,0
2022-03-23,Paracetamol,235,567,0,Bajo,0
2023-12-25,Aspirina,256,696,1,Bajo,0
2023-05-12,Ibuprofeno,73,350,0,Medio,0
2021-04-22,Salbutamol,377,651,0,Medio,0
2022-06-09,Paracetamol,297,951,1,Medio,0
2023-05-15,Aspirina,215,838,0,Alto,0
2021-06-23,Paracetamol,134,244,1,Medio,0
2024-06-29,Simvastatina,179,834,0,Bajo,0
2023-09-23,Amoxicilina,116,364,1,Bajo,0
2021-03-13,Salbutamol,383,382,0,Bajo,0
2022-02-22,Amoxicilina,101,201,1,Bajo,0
2023-10-25,Ibuprofeno,406,875,0,Medio,0
2022-11-22,Metformina,438,184,0,Bajo,0
2023-09-01,Losartan,462,153,0,Alto,0
2022-02-16,Omeprazol,466,680,0,Bajo,0
2023-10-29,Loratadina,495,442,0,Alto,0
2022-10-06,Loratadina,345,835,0,Alto,0
2023-03-26,Simvastatina,311,938,0,Bajo,0
2023-02-07,Metformina,319,464,0,Medio,0
2024-01-28,Salbutamol,404,286,0,Bajo,0
2022-06-22,Metformina,141,380,0,Medio,0
2022-06-18,Aspirina,256,280,0,Bajo,0
2023-09-12,Omeprazol,100,560,0,Medio,0
2022-10-17,Losartan,305,224,0,Alto,0
2022-12-02,Paracetamol,165,202,0,Medio,1
2022-10-28,Losartan,381,953,0,Medio,0
2021-05-07,Omeprazol,257,288,0,Alto,0
2022-10-24,Metformina,465,804,0,Bajo,0
2021-11-17,Simvastatina,226,267,1,Medio,0
2022-02-12,Metformina,199,295,0,Bajo,0
2022-08-14,Ibuprofeno,67,383,0,Bajo,0
2023-09-04,Losartan,474,333,0,Medio,0
2022-10-07,Metformina,409,310,0,Alto,1
2021-05-23,Amoxicilina,85,999,0,Alto,0
2021-09-13,Loratadina,259,901,0,Bajo,0
2022-07-02,Amoxicilina,394,845,0,Medio,0
2022-09-21,Simvastatina,202,482,0,Medio,0
2021-12-15,Salbutamol,441,110,0,Alto,0
2023-04-21,Salbutamol,391,574,0,Medio,0
2022-03-16,Salbutamol,453,246,0,Alto,0
2023-02-05,Ibuprofeno,356,328,0,Alto,0
2021-06-28,Paracetamol,192,193,0,Bajo,0
2022-01-16,Losartan,314,398,1,Alto,0
2021-07-02,Losartan,279,821,0,Alto,0
2021-08-26,Ibuprofeno,246,531,0,Alto,0
